region,ci_location_gco2_kwh,ci_low,ci_high,ewif_l_kwh,ewif_low,ewif_high,vintage,source,notes
Global average,473,425,520,2.0,1.0,4.0,2024,"Ember Global Electricity Review 2025 (2024 data); EWIF: Li et al. arXiv:2304.03271 + Macknick et al. 2012","Default when hosting region is unknown"
United States,384,350,420,1.8,1.0,3.1,2024,"Ember (2024 data); Macknick et al. operational consumption factors","EWIF varies strongly by state (CAISO vs coal states)"
EU average,213,190,240,1.9,1.0,3.0,2024,"Ember (2024 data)",""
France,40,20,60,2.4,1.2,3.6,2024,"Ember (2024 data)","Nuclear-dominated grid: very low carbon; cooling-tower evaporation raises EWIF"
Germany,344,300,390,1.6,0.8,2.4,2024,"Ember (2024 data)",""
United Kingdom,124,100,150,1.4,0.7,2.1,2024,"Ember (2024 data)",""
Ireland,280,240,330,1.3,0.7,2.0,2024,"Ember (2024 data)","Major EU data-center hub"
Netherlands,240,200,290,1.4,0.7,2.1,2024,"Ember (2024 data)",""
Poland,620,560,680,1.6,0.8,2.4,2024,"Ember (2024 data)","Highest-carbon grid in the EU"
Sweden,30,15,45,1.2,0.6,1.8,2024,"Ember (2024 data)","Hydro + nuclear"
Norway,30,15,45,1.1,0.5,1.7,2024,"Ember (2024 data)","Hydro-dominated; reservoir-evaporation attribution excluded (contested)"
Canada,170,130,210,1.5,0.8,2.3,2024,"Ember (2024 data)","Hydro-heavy provinces far lower than average"
Brazil,96,70,130,2.5,1.2,4.0,2024,"Ember (2024 data)","Hydro reservoir evaporation attribution excluded (contested; would raise EWIF several-fold)"
China,534,480,590,2.2,1.1,3.3,2024,"Ember (2024 data)",""
India,708,640,780,2.6,1.3,3.9,2024,"Ember (2024 data)","Highest-carbon major grid"
Japan,485,440,530,1.9,1.0,2.9,2024,"Ember (2024 data)",""
South Korea,415,370,460,1.9,1.0,2.9,2024,"Ember (2024 data)",""
Singapore,470,420,520,1.7,0.9,2.6,2024,"Ember (2024 data)","Gas-dominated; major APAC data-center hub"
Australia,549,490,610,2.3,1.2,3.5,2024,"Ember (2024 data)",""
United Arab Emirates,430,380,490,1.5,0.8,2.3,2024,"Ember (2024 data)","Gas + growing solar/nuclear"
